Clé,Country Code,Country Name,Region,Year,GDP (US$),Population (number),HDI,rank legatum index,score legatum,HAQ,Life expectancy,NumbeEasternr of Hospitals,Number of General hospitals,Number of Publicly owned hospitals,Number of Not-for-profit privately owned hospitals,Number of For-profit privately owned hospitals,Total hospital beds,Number of Beds in publicly owned hospitals,Number of Beds in not-for-profit privately owned hospitals,Number of Beds in for-profit privately owned hospitals,Number of Generalist medical practitioners,Number of Specialist medical practitioners,Number of Medical doctors not further defined,Number of Practising nurses,Remuneration of hospital nurses,Remuneration of specialists,Remuneration of general practitioners, Share of gross domestic product (in %) -  All financing schemes, Share of current expenditure on health (in %) -  Government/compulsory schemes, Share of gross domestic product (in %) -  Government/compulsory schemes, Share of current expenditure on health (in %) -  Household out-of-pocket payments, Share of gross domestic product (in %) -  Household out-of-pocket payments, Share of current expenditure on health (in %) - Voluntary health care payment schemes, Share of gross domestic product (in %) -   Voluntary health care payment schemes, Share of current expenditure on health (in %) -  Voluntary schemes/household out-of-pocket payments, Share of gross domestic product (in %) -  Voluntary schemes/household out-of-pocket payments,R&D expenses as PC_GDP (total GOV),R&D expenses as PC_GDP (total HES),R&D expenses as PC_GDP (total BES),R&D expenses as PC_GDP (total),Number schools,Total Fees per Year (USD) MIN,Total Fees per Year (USD) MAX
ARM2019,ARM,Armenia,Eastern Europe,2019,1.36E+10,2957728,0.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARM2020,ARM,Armenia,Eastern Europe,2020,1.26E+10,2963234,0.757,54,62.13488929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUS2010,AUS,Australia,Asia-Pacific,2010,1.15E+12,2.20E+07,0.923,10,79.17114657,88.2,81.944,1345,986,752,115,478,83232,57838,11882,13512,0,0,0,0,76782,0,0,8.423,68.636,5.781,19.749,1.664,11.614,0.978,31.364,2.642,NA,NA,NA,NA,NA,NA,NA
AUS2015,AUS,Australia,Asia-Pacific,2015,1.35E+12,2.38E+07,0.933,14,78.89595168,89.8,82.794,1331,937,701,107,523,90879,60957,13122,16800,37274,40944,5272,271151,71363,221932,108516,10.184,68.595,6.985,17.198,1.751,14.208,1.447,31.405,3.198,NA,NA,NA,NA,NA,NA,NA
AUS2019,AUS,Australia,Asia-Pacific,2019,1.39E+12,2.54E+07,0.941,NA,NA,NA,NA,1354,0,695,0,0,0,0,0,0,43200,46768,7071,309906,77569,214088,102446,10.23,71.956,7.361,14.692,1.503,13.352,1.366,28.044,2.869,NA,NA,NA,NA,NA,NA,NA
AUS2020,AUS,Australia,Asia-Pacific,2020,1.33E+12,2.57E+07,0.947,16,79.09641629,NA,NA,0,0,0,0,0,0,0,0,0,44781,48577,6902,315017,0,212769,98730,10.646,71.501,7.612,NA,NA,NA,NA,28.499,3.034,NA,NA,NA,NA,NA,NA,NA
AUT2010,AUT,Austria,Western Europe,2010,3.92E+11,8363404,0.902,12,78.74617992,86.1,80.622,270,128,156,43,71,64008,45367,11519,7122,13219,20103,7059,54617,0,205175,130322,10.221,74.647,7.63,18.602,1.901,6.751,0.69,25.353,2.591,0.14,0.7,1.87,2.73,4,4215,12452
AUT2015,AUT,Austria,Western Europe,2015,3.82E+11,8642699,0.91,12,79.36081682,88.2,81.182,282,118,157,42,83,65138,45097,11223,8818,14275,23702,6315,58732,0,188948,125335,10.368,74.058,7.678,19.091,1.979,6.851,0.71,25.942,2.69,0.14,0.72,2.18,3.05,4,4215,12452
AUT2019,AUT,Austria,Western Europe,2019,4.45E+11,8879920,0.919,NA,NA,NA,NA,265,115,144,42,79,63838,44299,10510,9029,13581,25626,8017,92115,0,0,0,10.475,75.083,7.865,17.908,1.876,7.009,0.734,24.917,2.61,0.23,0.68,2.2,3.13,4,4215,12452
AUT2020,AUT,Austria,Western Europe,2020,4.33E+11,8916864,0.913,11,80.38789862,NA,NA,267,114,143,42,82,62873,43121,10244,9508,13280,26410,7984,93477,0,0,0,11.474,76.453,8.772,16.804,1.928,6.743,0.774,23.547,2.702,0.24,0.72,2.24,3.22,4,4215,12452
AZE2010,AZE,Azerbaijan,Eastern Europe,2010,5.29E+10,9054332,0.727,98,51.97902824,59.9,70.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZE2015,AZE,Azerbaijan,Eastern Europe,2015,5.31E+10,9649341,0.748,100,53.26615079,64.5,72.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZE2019,AZE,Azerbaijan,Eastern Europe,2019,4.82E+10,1.00E+07,0.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZE2020,AZE,Azerbaijan,Eastern Europe,2020,4.27E+10,1.01E+07,0.73,80,57.36002617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BDI2010,BDI,Burundi,Sub-Saharan Africa,2010,2.03E+09,8675606,0.405,160,36.12011764,40.5,57.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BDI2015,BDI,Burundi,Sub-Saharan Africa,2015,3.10E+09,1.02E+07,0.428,157,37.32299026,40.4,60.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BDI2019,BDI,Burundi,Sub-Saharan Africa,2019,2.58E+09,1.15E+07,0.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BDI2020,BDI,Burundi,Sub-Saharan Africa,2020,2.78E+09,1.19E+07,0.426,157,38.07683372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEL2010,BEL,Belgium,Western Europe,2010,4.81E+11,1.09E+07,0.912,19,76.14121556,86.3,80.072,195,131,46,149,0,66645,18150,48495,0,12228,19153,434,104513,77197,132063,119881,10.202,76.283,7.783,19.721,2.012,3.996,0.408,23.717,2.42,0.17,0.48,1.38,2.06,9,10586,14781
BEL2015,BEL,Belgium,Western Europe,2015,4.62E+11,1.13E+07,0.924,19,76.94709565,87.9,80.969,179,116,40,139,0,65753,17200,48553,0,12693,20881,446,122127,72448,127884,114303,10.774,76.715,8.265,18.709,2.016,4.576,0.493,23.285,2.509,0.22,0.49,1.7,2.43,9,10586,14781
BEL2019,BEL,Belgium,Western Europe,2019,5.35E+11,1.15E+07,0.936,NA,NA,NA,NA,164,104,38,126,0,63962,16738,47224,0,13425,22450,468,0,77845,129583,131102,10.664,76.026,8.107,18.975,2.023,4.999,0.533,23.974,2.556,0.28,0.53,2.33,3.16,9,10586,14781
BEL2020,BEL,Belgium,Western Europe,2020,5.22E+11,1.15E+07,0.928,23,76.57025267,NA,NA,163,104,38,125,0,63847,16730,47117,0,13697,22890,502,0,82820,133325,135939,10.793,78.676,8.491,16.445,1.775,4.879,0.527,21.324,2.301,0.28,0.57,2.49,3.38,9,10586,14781
BEN2010,BEN,Benin,Sub-Saharan Africa,2010,9.54E+09,9199254,0.492,128,45.04397468,41.5,59.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEN2015,BEN,Benin,Sub-Saharan Africa,2015,1.14E+10,1.06E+07,0.529,127,45.80237188,43,60.608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEN2019,BEN,Benin,Sub-Saharan Africa,2019,1.44E+10,1.18E+07,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEN2020,BEN,Benin,Sub-Saharan Africa,2020,1.57E+10,1.21E+07,0.524,123,47.81534645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFA2010,BFA,Burkina Faso,Sub-Saharan Africa,2010,1.01E+10,1.56E+07,0.372,137,43.03957324,42.7,57.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFA2015,BFA,Burkina Faso,Sub-Saharan Africa,2015,1.18E+10,1.81E+07,0.418,131,45.16078949,42.9,59.919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFA2019,BFA,Burkina Faso,Sub-Saharan Africa,2019,1.62E+10,2.03E+07,0.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFA2020,BFA,Burkina Faso,Sub-Saharan Africa,2020,1.79E+10,2.09E+07,0.449,134,45.41933511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGD2010,BGD,Bangladesh,Asia-Pacific,2010,1.15E+11,1.48E+08,0.553,132,43.85930269,48.7,69.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGD2015,BGD,Bangladesh,Asia-Pacific,2015,1.95E+11,1.56E+08,0.602,132,44.8691153,51.7,71.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGD2019,BGD,Bangladesh,Asia-Pacific,2019,3.51E+11,1.63E+08,0.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGD2020,BGD,Bangladesh,Asia-Pacific,2020,3.74E+11,1.65E+08,0.655,126,47.04980825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGR2010,BGR,Bulgaria,Eastern Europe,2010,5.07E+10,7395599,0.79,51,61.84334843,67.9,73.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9000,12000
BGR2015,BGR,Bulgaria,Eastern Europe,2015,5.08E+10,7177991,0.809,50,62.62648246,71.4,74.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9000,12000
BGR2019,BGR,Bulgaria,Eastern Europe,2019,6.89E+10,6975761,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9000,12000
BGR2020,BGR,Bulgaria,Eastern Europe,2020,6.99E+10,6934015,0.802,48,64.75226847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9000,12000
BHR2010,BHR,Bahrain,Middle East and North Africa,2010,2.57E+10,1240864,0.808,50,62.01725668,77.2,76.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,43430,112045
BHR2015,BHR,Bahrain,Middle East and North Africa,2015,3.11E+10,1371853,0.858,56,60.31357921,79,76.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,43430,112045
BHR2019,BHR,Bahrain,Middle East and North Africa,2019,3.87E+10,1641164,0.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,43430,112045
BHR2020,BHR,Bahrain,Middle East and North Africa,2020,3.47E+10,1701583,0.877,58,61.25982021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,43430,112045
BIH2010,BIH,Bosnia And Herzegovina,Eastern Europe,2010,1.72E+10,3705478,0.725,72,55.77172264,75.3,76.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIH2015,BIH,Bosnia And Herzegovina,Eastern Europe,2015,1.62E+10,3429362,0.761,76,57.13023094,78.2,76.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIH2019,BIH,Bosnia And Herzegovina,Eastern Europe,2019,2.02E+10,3300998,0.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIH2020,BIH,Bosnia And Herzegovina,Eastern Europe,2020,2.00E+10,3280815,0.781,77,57.86037173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR2010,BLR,Belarus,Eastern Europe,2010,5.72E+10,9483836,0.79,73,55.76111549,71.7,70.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4374,5204
BLR2015,BLR,Belarus,Eastern Europe,2015,5.65E+10,9461076,0.812,72,57.2868327,74.4,73.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4374,5204
BLR2019,BLR,Belarus,Eastern Europe,2019,6.44E+10,9419758,0.817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4374,5204
BLR2020,BLR,Belarus,Eastern Europe,2020,6.15E+10,9379952,0.807,65,60.28718791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4374,5204
BLZ2010,BLZ,Belize,Latin America and the Caribbean,2010,1.39E+09,322465,0.707,85,54.14715601,56.3,72.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLZ2015,BLZ,Belize,Latin America and the Caribbean,2015,1.73E+09,360926,0.708,88,55.20575142,58.3,74.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLZ2019,BLZ,Belize,Latin America and the Caribbean,2019,1.95E+09,390351,0.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLZ2020,BLZ,Belize,Latin America and the Caribbean,2020,1.59E+09,397621,0.69,95,55.45865871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOL2010,BOL,Bolivia,Latin America and the Caribbean,2010,1.96E+10,1.00E+07,,106,50.24085818,56.4,68.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOL2015,BOL,Bolivia,Latin America and the Caribbean,2015,3.30E+10,1.09E+07,,102,52.747272,59.2,70.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOL2019,BOL,Bolivia,Latin America and the Caribbean,2019,4.09E+10,1.15E+07,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOL2020,BOL,Bolivia,Latin America and the Caribbean,2020,3.66E+10,1.17E+07,,106,52.90820378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA2010,BRA,Brazil,Latin America and the Caribbean,2010,2.21E+12,1.96E+08,0.723,55,59.93101529,62.6,73.619,0,0,0,0,0,500754,0,0,0,100097,0,0,130779,0,0,0,7.945,45.023,3.577,29.385,2.335,25.591,2.033,54.977,4.368,NA,NA,NA,NA,NA,NA,NA
BRA2015,BRA,Brazil,Latin America and the Caribbean,2015,1.80E+12,2.04E+08,0.753,53,61.12268085,64.9,74.994,0,0,0,0,0,482949,0,0,0,126634,0,0,209216,0,0,0,8.909,43.332,3.861,24.707,2.201,29.107,2.593,53.815,4.795,NA,NA,NA,NA,NA,NA,NA
BRA2019,BRA,Brazil,Latin America and the Caribbean,2019,1.87E+12,2.11E+08,0.766,NA,NA,NA,NA,0,0,0,0,0,474131,0,0,0,144971,65383,0,267729,0,0,0,9.614,40.876,3.93,24.88,2.392,31.141,2.994,56.021,5.386,NA,NA,NA,NA,NA,NA,NA
BRA2020,BRA,Brazil,Latin America and the Caribbean,2020,1.45E+12,2.13E+08,0.758,68,59.816573,NA,NA,0,0,0,0,0,518900,0,0,0,162520,0,0,301558,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BWA2010,BWA,Botswana,Sub-Saharan Africa,2010,1.28E+10,1987106,0.66,80,55.04759456,48.6,60.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BWA2015,BWA,Botswana,Sub-Saharan Africa,2015,1.36E+10,2120716,0.702,74,57.24198458,51.1,67.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BWA2019,BWA,Botswana,Sub-Saharan Africa,2019,1.67E+10,2303703,0.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BWA2020,BWA,Botswana,Sub-Saharan Africa,2020,1.49E+10,2351625,0.713,85,56.97108443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAF2010,CAF,Central African Republic,Sub-Saharan Africa,2010,2.14E+09,4386765,0.372,165,32.81454569,28.8,47.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAF2015,CAF,Central African Republic,Sub-Saharan Africa,2015,1.70E+09,4493171,0.384,166,30.37185962,28.6,50.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAF2019,CAF,Central African Republic,Sub-Saharan Africa,2019,2.22E+09,4745179,0.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAF2020,CAF,Central African Republic,Sub-Saharan Africa,2020,2.33E+09,4829764,0.407,166,32.38653306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAN2010,CAN,Canada,North America,2010,1.62E+12,3.40E+07,0.911,13,78.52440944,86.3,81.322,724,573,717,0,7,94702,94092,0,610,38032,42863,0,318565,62371,251845,160545,10.702,69.921,7.483,15.48,1.657,14.599,1.562,30.079,3.219,NA,NA,NA,NA,NA,NA,NA
CAN2015,CAN,Canada,North America,2015,1.56E+12,3.57E+07,0.926,11,79.37712838,87.6,82.026,719,586,712,0,7,93595,92966,0,629,44961,50245,0,353738,54131,240236,152933,10.744,70.657,7.591,14.596,1.568,14.747,1.584,29.343,3.153,NA,NA,NA,NA,NA,NA,NA
CAN2019,CAN,Canada,North America,2019,1.74E+12,3.76E+07,0.937,NA,NA,NA,NA,709,551,702,0,7,94748,94120,0,628,49669,54917,0,375312,56874,243488,152442,10.95,69.78,7.641,15.035,1.646,15.185,1.663,30.22,3.309,NA,NA,NA,NA,NA,NA,NA
CAN2020,CAN,Canada,North America,2020,1.65E+12,3.80E+07,0.931,14,79.42985677,NA,NA,702,550,695,0,7,96849,96220,0,629,50421,55069,0,382839,57613,0,0,12.94,74.968,9.701,12.431,1.608,12.601,1.631,25.032,3.239,NA,NA,NA,NA,NA,NA,NA
CHE2010,CHE,Switzerland,Western Europe,2010,6.03E+11,7824909,0.942,5,81.59548545,90.1,82.269,300,121,0,0,0,40638,0,0,0,4748,19198,5857,114575,65205,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,14615,28092
CHE2015,CHE,Switzerland,Western Europe,2015,7.02E+11,8282396,0.954,3,82.38047437,91.8,83.142,288,106,0,0,0,39176,0,0,0,9570,20313,4879,137306,77842,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,14615,28092
CHE2019,CHE,Switzerland,Western Europe,2019,7.32E+11,8575280,0.962,NA,NA,NA,NA,281,105,0,0,0,39390,0,0,0,9724,22557,5019,154004,75642,286309,266250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,14615,28092
CHE2020,CHE,Switzerland,Western Europe,2020,7.52E+11,8636561,0.956,3,83.13847302,NA,NA,276,106,0,0,0,38705,0,0,0,9848,23028,5035,158714,81058,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,14615,28092
CHL2010,CHL,Chile,Latin America and the Caribbean,2010,2.17E+11,1.71E+07,0.813,35,67.9865557,73.9,78.779,415,291,231,0,184,34829,28062,0,6767,15066,9389,0,0,0,0,0,6.775,59.027,3.999,34.468,2.335,6.505,0.441,40.973,2.776,NA,NA,NA,NA,NA,NA,NA
CHL2015,CHL,Chile,Latin America and the Caribbean,2015,2.42E+11,1.80E+07,0.846,34,68.85894318,76,79.646,363,241,213,0,150,38496,28563,0,9933,18768,19812,0,0,31867,84690,51721,8.303,58.746,4.878,34.509,2.865,6.744,0.56,41.254,3.425,NA,NA,NA,NA,NA,NA,NA
CHL2019,CHL,Chile,Latin America and the Caribbean,2019,2.79E+11,1.90E+07,0.861,NA,NA,NA,NA,356,255,216,0,140,38788,29563,0,9225,23838,26601,0,0,32263,90940,52832,9.333,60.602,5.656,32.8,3.061,6.598,0.616,39.398,3.677,NA,NA,NA,NA,NA,NA,NA
CHL2020,CHL,Chile,Latin America and the Caribbean,2020,2.53E+11,1.91E+07,0.852,37,69.14925557,NA,NA,347,247,216,0,131,39119,29856,0,9263,26009,28187,0,0,29600,80856,48510,9.753,65.148,6.354,29.377,2.865,5.475,0.534,34.852,3.399,NA,NA,NA,NA,NA,NA,NA
CHN2010,CHN,China,Asia-Pacific,2010,6.09E+12,1.34E+09,0.691,62,57.88517539,69.9,74.409,0,0,0,0,0,3387400,0,0,0,0,0,0,2048071,0,0,0,4.194,51.906,2.177,40.8,1.711,7.172,0.301,47.972,2.012,NA,NA,NA,NA,NA,NA,NA
CHN2015,CHN,China,Asia-Pacific,2015,1.11E+13,1.38E+09,0.733,59,59.49593895,74.2,75.928,0,0,0,0,0,5330600,0,0,0,0,0,0,3241469,0,0,0,4.961,60.181,2.986,35.089,1.741,4.721,0.234,39.81,1.975,NA,NA,NA,NA,NA,NA,NA
CHN2019,CHN,China,Asia-Pacific,2019,1.43E+13,1.41E+09,0.762,NA,NA,NA,NA,0,0,0,0,0,6866500,0,0,0,0,0,0,4445047,0,0,0,5.349,56.109,3.002,35.23,1.885,8.66,0.463,43.89,2.348,NA,NA,NA,NA,NA,NA,NA
CHN2020,CHN,China,Asia-Pacific,2020,1.47E+13,1.41E+09,0.764,52,62.50705603,NA,NA,0,0,0,0,0,7131200,0,0,0,0,0,0,4708717,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
