id,Country,Area,rank_2010,rank_2015,rank_2020,rank_2021,score_2010,score_2015,score_2020,score_2021,Year,HAQ Index (IHME (2017)),Code,Life expectancy
101,Bosnia and Herzegovina,Eastern Europe,72,76,77,76,55.7717226361,57.1302309371,57.8603717343,58.0429548668,2015,78.2,BIH,76.865
102,Botswana,Sub-Saharan Africa,80,74,85,82,55.0475945638,57.2419845802,56.9710844312,57.1456355244,1990,44.9,BWA,59.191
103,Botswana,Sub-Saharan Africa,80,74,85,82,55.0475945638,57.2419845802,56.9710844312,57.1456355244,1995,45.4,BWA,54.41
104,Botswana,Sub-Saharan Africa,80,74,85,82,55.0475945638,57.2419845802,56.9710844312,57.1456355244,2000,43.7,BWA,50.629
105,Botswana,Sub-Saharan Africa,80,74,85,82,55.0475945638,57.2419845802,56.9710844312,57.1456355244,2005,43.9,BWA,52.13
106,Botswana,Sub-Saharan Africa,80,74,85,82,55.0475945638,57.2419845802,56.9710844312,57.1456355244,2010,48.6,BWA,60.211
107,Botswana,Sub-Saharan Africa,80,74,85,82,55.0475945638,57.2419845802,56.9710844312,57.1456355244,2015,51.1,BWA,67.338
108,Brazil,Latin America and the Caribbean,55,53,68,68,59.9310152876,61.1226808489,59.8165730005,59.570828075,1990,50.1,BRA,66.343
109,Brazil,Latin America and the Caribbean,55,53,68,68,59.9310152876,61.1226808489,59.8165730005,59.570828075,1995,53.8,BRA,68.318
110,Brazil,Latin America and the Caribbean,55,53,68,68,59.9310152876,61.1226808489,59.8165730005,59.570828075,2000,57.0,BRA,70.116
111,Brazil,Latin America and the Caribbean,55,53,68,68,59.9310152876,61.1226808489,59.8165730005,59.570828075,2005,59.9,BRA,71.896
112,Brazil,Latin America and the Caribbean,55,53,68,68,59.9310152876,61.1226808489,59.8165730005,59.570828075,2010,62.6,BRA,73.619
113,Brazil,Latin America and the Caribbean,55,53,68,68,59.9310152876,61.1226808489,59.8165730005,59.570828075,2015,64.9,BRA,74.994
114,Bulgaria,Eastern Europe,51,50,48,48,61.8433484284,62.6264824587,64.7522684652,65.3843302343,1990,63.0,BGR,71.275
115,Bulgaria,Eastern Europe,51,50,48,48,61.8433484284,62.6264824587,64.7522684652,65.3843302343,1995,63.2,BGR,70.932
116,Bulgaria,Eastern Europe,51,50,48,48,61.8433484284,62.6264824587,64.7522684652,65.3843302343,2000,64.8,BGR,71.501
117,Bulgaria,Eastern Europe,51,50,48,48,61.8433484284,62.6264824587,64.7522684652,65.3843302343,2005,66.7,BGR,72.673
118,Bulgaria,Eastern Europe,51,50,48,48,61.8433484284,62.6264824587,64.7522684652,65.3843302343,2010,67.9,BGR,73.722
119,Bulgaria,Eastern Europe,51,50,48,48,61.8433484284,62.6264824587,64.7522684652,65.3843302343,2015,71.4,BGR,74.584
120,Burkina Faso,Sub-Saharan Africa,137,131,134,134,43.0395732355,45.1607894908,45.4193351133,45.1506058874,1990,32.9,BFA,49.454
121,Burkina Faso,Sub-Saharan Africa,137,131,134,134,43.0395732355,45.1607894908,45.4193351133,45.1506058874,1995,34.1,BFA,49.445
122,Burkina Faso,Sub-Saharan Africa,137,131,134,134,43.0395732355,45.1607894908,45.4193351133,45.1506058874,2000,36.0,BFA,50.489
123,Burkina Faso,Sub-Saharan Africa,137,131,134,134,43.0395732355,45.1607894908,45.4193351133,45.1506058874,2005,40.3,BFA,53.31
124,Burkina Faso,Sub-Saharan Africa,137,131,134,134,43.0395732355,45.1607894908,45.4193351133,45.1506058874,2010,42.7,BFA,57.096
125,Burkina Faso,Sub-Saharan Africa,137,131,134,134,43.0395732355,45.1607894908,45.4193351133,45.1506058874,2015,42.9,BFA,59.919
126,Burundi,Sub-Saharan Africa,160,157,157,157,36.1201176417,37.3229902562,38.0768337241,38.4712534986,1990,23.5,BDI,47.829
127,Burundi,Sub-Saharan Africa,160,157,157,157,36.1201176417,37.3229902562,38.0768337241,38.4712534986,1995,23.4,BDI,46.758
128,Burundi,Sub-Saharan Africa,160,157,157,157,36.1201176417,37.3229902562,38.0768337241,38.4712534986,2000,27.0,BDI,49.091
129,Burundi,Sub-Saharan Africa,160,157,157,157,36.1201176417,37.3229902562,38.0768337241,38.4712534986,2005,35.5,BDI,53.369
130,Burundi,Sub-Saharan Africa,160,157,157,157,36.1201176417,37.3229902562,38.0768337241,38.4712534986,2010,40.5,BDI,57.228
131,Burundi,Sub-Saharan Africa,160,157,157,157,36.1201176417,37.3229902562,38.0768337241,38.4712534986,2015,40.4,BDI,60.123
132,Cambodia,Asia-Pacific,120,121,118,118,46.7000571332,46.8869276258,48.6859447008,49.1546126349,1990,30.0,KHM,53.595
133,Cambodia,Asia-Pacific,120,121,118,118,46.7000571332,46.8869276258,48.6859447008,49.1546126349,1995,31.3,KHM,55.189
134,Cambodia,Asia-Pacific,120,121,118,118,46.7000571332,46.8869276258,48.6859447008,49.1546126349,2000,34.1,KHM,58.432
135,Cambodia,Asia-Pacific,120,121,118,118,46.7000571332,46.8869276258,48.6859447008,49.1546126349,2005,40.7,KHM,63.088
