,Rank,Country,Health Care Index (Overall),Infrastructure,Professionals,Cost,Medicine Availability,Government Readiness,Year,HAQ Index (IHME (2017)),Code,Life expectancy
106,19,India,52.1,74.2,17.84,63.51,97.84,89.98,2010,41.2,IND,66.693
107,19,India,52.1,74.2,17.84,63.51,97.84,89.98,2015,44.8,IND,68.607
108,20,United Arab Emirates,51.99,68.21,14.95,60.36,55.08,88.74,1990,56.9,ARE,71.939
109,20,United Arab Emirates,51.99,68.21,14.95,60.36,55.08,88.74,1995,60.8,ARE,73.194
110,20,United Arab Emirates,51.99,68.21,14.95,60.36,55.08,88.74,2000,64.7,ARE,74.327
111,20,United Arab Emirates,51.99,68.21,14.95,60.36,55.08,88.74,2005,69.0,ARE,75.376
112,20,United Arab Emirates,51.99,68.21,14.95,60.36,55.08,88.74,2010,71.4,ARE,76.332
113,20,United Arab Emirates,51.99,68.21,14.95,60.36,55.08,88.74,2015,72.2,ARE,77.285
114,21,Israel,50.15,73.53,13.84,62.22,74.19,87.72,1990,71.3,ISR,76.582
115,21,Israel,50.15,73.53,13.84,62.22,74.19,87.72,1995,74.3,ISR,77.758
116,21,Israel,50.15,73.53,13.84,62.22,74.19,87.72,2000,77.5,ISR,78.916
117,21,Israel,50.15,73.53,13.84,62.22,74.19,87.72,2005,80.3,ISR,80.269
118,21,Israel,50.15,73.53,13.84,62.22,74.19,87.72,2010,83.7,ISR,81.463
119,21,Israel,50.15,73.53,13.84,62.22,74.19,87.72,2015,85.5,ISR,82.34
120,22,Portugal,49.58,98.3,14.25,75.25,83.54,87.95,1990,67.2,PRT,74.504
121,22,Portugal,49.58,98.3,14.25,75.25,83.54,87.95,1995,71.5,PRT,75.397
122,22,Portugal,49.58,98.3,14.25,75.25,83.54,87.95,2000,74.7,PRT,76.749
123,22,Portugal,49.58,98.3,14.25,75.25,83.54,87.95,2005,79.7,PRT,78.451
124,22,Portugal,49.58,98.3,14.25,75.25,83.54,87.95,2010,81.9,PRT,79.995
125,22,Portugal,49.58,98.3,14.25,75.25,83.54,87.95,2015,84.5,PRT,81.224
126,23,Canada,48.64,62.39,16.89,55.73,52.91,89.75,1990,78.9,CAN,77.303
127,23,Canada,48.64,62.39,16.89,55.73,52.91,89.75,1995,80.7,CAN,78.152
128,23,Canada,48.64,62.39,16.89,55.73,52.91,89.75,2000,83.2,CAN,79.118
129,23,Canada,48.64,62.39,16.89,55.73,52.91,89.75,2005,84.7,CAN,80.235
130,23,Canada,48.64,62.39,16.89,55.73,52.91,89.75,2010,86.3,CAN,81.322
131,23,Canada,48.64,62.39,16.89,55.73,52.91,89.75,2015,87.6,CAN,82.026
132,24,Singapore,48.54,82.67,13.35,66.15,81.98,81.63,1990,67.4,SGP,75.936
133,24,Singapore,48.54,82.67,13.35,66.15,81.98,81.63,1995,72.8,SGP,76.821
134,24,Singapore,48.54,82.67,13.35,66.15,81.98,81.63,2000,77.3,SGP,77.969
135,24,Singapore,48.54,82.67,13.35,66.15,81.98,81.63,2005,80.8,SGP,80.275
136,24,Singapore,48.54,82.67,13.35,66.15,81.98,81.63,2010,84.2,SGP,81.833
137,24,Singapore,48.54,82.67,13.35,66.15,81.98,81.63,2015,86.3,SGP,82.877
138,25,Ecuador,48.27,69.37,45.24,59.16,66.11,98.2,1990,45.4,ECU,68.899
139,25,Ecuador,48.27,69.37,45.24,59.16,66.11,98.2,1995,48.7,ECU,70.972
140,25,Ecuador,48.27,69.37,45.24,59.16,66.11,98.2,2000,53.5,ECU,72.761
141,25,Ecuador,48.27,69.37,45.24,59.16,66.11,98.2,2005,56.1,ECU,74.112
142,25,Ecuador,48.27,69.37,45.24,59.16,66.11,98.2,2010,58.6,ECU,75.089
143,25,Ecuador,48.27,69.37,45.24,59.16,66.11,98.2,2015,61.2,ECU,76.143
144,26,Greece,48.13,96.87,19.39,86.79,98.21,91.2,1990,76.5,GRC,76.552
145,26,Greece,48.13,96.87,19.39,86.79,98.21,91.2,1995,79.5,GRC,77.777
146,26,Greece,48.13,96.87,19.39,86.79,98.21,91.2,2000,82.2,GRC,78.587
147,26,Greece,48.13,96.87,19.39,86.79,98.21,91.2,2005,84.4,GRC,79.563
148,26,Greece,48.13,96.87,19.39,86.79,98.21,91.2,2010,85.2,GRC,80.542
149,26,Greece,48.13,96.87,19.39,86.79,98.21,91.2,2015,87.0,GRC,81.548
150,27,Argentina,47.15,78.03,20.31,63.08,75.19,92.1,1990,57.4,ARG,71.594
151,27,Argentina,47.15,78.03,20.31,63.08,75.19,92.1,1995,60.3,ARG,72.651
152,27,Argentina,47.15,78.03,20.31,63.08,75.19,92.1,2000,63.5,ARG,73.576
153,27,Argentina,47.15,78.03,20.31,63.08,75.19,92.1,2005,65.3,ARG,74.451
154,27,Argentina,47.15,78.03,20.31,63.08,75.19,92.1,2010,66.6,ARG,75.278
155,27,Argentina,47.15,78.03,20.31,63.08,75.19,92.1,2015,68.4,ARG,76.068
156,28,Sweden,46.24,70.06,25.05,58.53,62.6,95.1,1990,80.4,SWE,77.637
157,28,Sweden,46.24,70.06,25.05,58.53,62.6,95.1,1995,83.9,SWE,78.743
158,28,Sweden,46.24,70.06,25.05,58.53,62.6,95.1,2000,85.7,SWE,79.725
159,28,Sweden,46.24,70.06,25.05,58.53,62.6,95.1,2005,87.0,SWE,80.594
160,28,Sweden,46.24,70.06,25.05,58.53,62.6,95.1,2010,88.7,SWE,81.514
161,28,Sweden,46.24,70.06,25.05,58.53,62.6,95.1,2015,90.5,SWE,82.251
162,29,Mexico,45.84,75.2,21.56,60.99,66.54,92.7,1990,49.2,MEX,70.866
163,29,Mexico,45.84,75.2,21.56,60.99,66.54,92.7,1995,54.1,MEX,72.598
164,29,Mexico,45.84,75.2,21.56,60.99,66.54,92.7,2000,57.4,MEX,74.34
165,29,Mexico,45.84,75.2,21.56,60.99,66.54,92.7,2005,59.1,MEX,75.3
166,29,Mexico,45.84,75.2,21.56,60.99,66.54,92.7,2010,60.5,MEX,75.065
167,29,Mexico,45.84,75.2,21.56,60.99,66.54,92.7,2015,62.6,MEX,74.904
168,30,United States,45.62,84.18,13.1,65.52,76.28,76.21,1990,73.7,USA,75.246
169,30,United States,45.62,84.18,13.1,65.52,76.28,76.21,1995,76.0,USA,76.062
170,30,United States,45.62,84.18,13.1,65.52,76.28,76.21,2000,77.8,USA,76.812
171,30,United States,45.62,84.18,13.1,65.52,76.28,76.21,2005,78.8,USA,77.685
172,30,United States,45.62,84.18,13.1,65.52,76.28,76.21,2010,80.5,USA,78.652
173,30,United States,45.62,84.18,13.1,65.52,76.28,76.21,2015,81.3,USA,78.91
174,31,Lithuania,45.3,83.43,14.65,64.98,85.77,88.38,1990,67.0,LTU,70.682
175,31,Lithuania,45.3,83.43,14.65,64.98,85.77,88.38,1995,64.2,LTU,69.768
176,31,Lithuania,45.3,83.43,14.65,64.98,85.77,88.38,2000,69.6,LTU,70.967
177,31,Lithuania,45.3,83.43,14.65,64.98,85.77,88.38,2005,70.2,LTU,71.692
178,31,Lithuania,45.3,83.43,14.65,64.98,85.77,88.38,2010,73.6,LTU,72.826
179,31,Lithuania,45.3,83.43,14.65,64.98,85.77,88.38,2015,76.6,LTU,74.923
180,32,Estonia,45.3,71.12,42.86,58.62,64.48,97.8,1990,65.8,EST,69.402
181,32,Estonia,45.3,71.12,42.86,58.62,64.48,97.8,1995,62.5,EST,68.66
182,32,Estonia,45.3,71.12,42.86,58.62,64.48,97.8,2000,67.4,EST,70.409
183,32,Estonia,45.3,71.12,42.86,58.62,64.48,97.8,2005,71.4,EST,72.62
184,32,Estonia,45.3,71.12,42.86,58.62,64.48,97.8,2010,77.5,EST,75.311
185,32,Estonia,45.3,71.12,42.86,58.62,64.48,97.8,2015,81.4,EST,77.783
186,33,Qatar,45.29,67.54,51.28,56.77,60.69,98.5,1990,70.8,QAT,75.824
187,33,Qatar,45.29,67.54,51.28,56.77,60.69,98.5,1995,71.3,QAT,76.759
188,33,Qatar,45.29,67.54,51.28,56.77,60.69,98.5,2000,73.1,QAT,77.467
189,33,Qatar,45.29,67.54,51.28,56.77,60.69,98.5,2005,77.5,QAT,78.252
