Country Code,Country Name,Year,GDP (US$),Population (number),HDI
CHE,Switzerland,2010,6.03434493403E11,7824909.0,0.942
CHE,Switzerland,2015,7.02149580771E11,8282396.0,0.954
CHE,Switzerland,2019,7.31767398053E11,8575280.0,0.962
CHE,Switzerland,2020,7.5224804573E11,8636561.0,0.956
CHI,Channel Islands,2010,,159718.0,
CHI,Channel Islands,2015,,165387.0,
CHI,Channel Islands,2019,,172264.0,
CHI,Channel Islands,2020,,173859.0,
CHL,Chile,2010,2.17105420017E11,1.7062531E7,0.813
CHL,Chile,2015,2.42496649874E11,1.7969356E7,0.846
CHL,Chile,2019,2.78584733103E11,1.8952035E7,0.861
CHL,Chile,2020,2.5272719371E11,1.9116209E7,0.852
CHN,China,2010,6.08716387451073E12,1.337705E9,0.691
CHN,China,2015,1.10615530798715E13,1.37986E9,0.733
CHN,China,2019,1.42799E13,1.407745E9,0.762
CHN,China,2020,1.46877E13,1.4111E9,0.764
CIV,Cote D'ivoire,2010,3.4936305297E10,2.0532944E7,
CIV,Cote D'ivoire,2015,4.5814637971E10,2.3226148E7,
CIV,Cote D'ivoire,2019,5.853942493E10,2.5716554E7,
CIV,Cote D'ivoire,2020,6.1348579465E10,2.6378275E7,
CMR,Cameroon,2010,2.7507499709E10,2.0341236E7,0.513
CMR,Cameroon,2015,3.2210232912E10,2.3298376E7,0.56
CMR,Cameroon,2019,3.9670977333E10,2.5876387E7,0.583
CMR,Cameroon,2020,4.0804449726E10,2.6545864E7,0.578
COD,Congo,2010,1.8648373312E10,6.2448572E7,0.561
COD,Congo,2015,3.5909040266E10,7.3767445E7,0.59
COD,Congo,2019,4.7568210068E10,8.4068092E7,0.57
COD,Congo,2020,5.1775830726E10,8.6790568E7,0.574
YEM,Yemen,2010,9.723299908E9,4145400.0,0.51
YEM,Yemen,2015,1.7912907682E10,4736965.0,0.477
YEM,Yemen,2019,1.367003802E10,5244363.0,0.461
YEM,Yemen,2020,1.2750338736E10,5380504.0,0.46
COL,Colombia,2010,2.86563105192E11,4.5222699E7,0.726
COL,Colombia,2015,2.93481748241E11,4.7520667E7,0.754
COL,Colombia,2019,3.23109543324E11,5.0339443E7,0.768
COL,Colombia,2020,2.70299982887E11,5.0882884E7,0.756
COM,Comoros,2010,9.07978724E8,689696.0,0.52
COM,Comoros,2015,9.66029542E8,777435.0,0.544
COM,Comoros,2019,1.195019559E9,850891.0,0.56
COM,Comoros,2020,1.223876065E9,869595.0,0.562
CPV,Cabo Verde,2010,1.66431077E9,492644.0,0.644
CPV,Cabo Verde,2015,1.596800287E9,524740.0,0.663
CPV,Cabo Verde,2019,1.981845741E9,549936.0,0.676
CPV,Cabo Verde,2020,1.703698677E9,555988.0,0.662
CRI,Costa Rica,2010,3.7658614803E10,4577371.0,0.772
CRI,Costa Rica,2015,5.6441917653E10,4847805.0,0.798
CRI,Costa Rica,2019,6.4417670083E10,5047561.0,0.819
CRI,Costa Rica,2020,6.2158002233E10,5094114.0,0.816
CSS,Caribbean Small States,2010,6.4592893104E10,6973193.0,
CSS,Caribbean Small States,2015,7.3535009882E10,7222197.0,
CSS,Caribbean Small States,2019,7.7023818121E10,7401389.0,
CSS,Caribbean Small States,2020,6.5922853041E10,7442291.0,
CUB,Cuba,2010,5.9562962963E10,1.1225833E7,0.78
CUB,Cuba,2015,8.7133E10,1.1324777E7,0.773
CUB,Cuba,2019,1.03428E11,1.1333484E7,0.788
CUB,Cuba,2020,1.07352E11,1.1326616E7,0.781
CUW,Curacao,2010,,148703.0,
CUW,Curacao,2015,3.04273743E9,157980.0,
CUW,Curacao,2019,2.995185487E9,157441.0,
CUW,Curacao,2020,2.496174736E9,154947.0,
CYM,Cayman Islands,2010,4.156990816E9,56672.0,
CYM,Cayman Islands,2015,4.708336756E9,61721.0,
CYM,Cayman Islands,2019,5.943589096E9,64948.0,
CYM,Cayman Islands,2020,5.608989196E9,65720.0,
CYP,Cyprus,2010,2.5732432719E10,1112617.0,0.857
CYP,Cyprus,2015,1.9842404305E10,1160987.0,0.871
CYP,Cyprus,2019,2.5758357775E10,1198574.0,0.897
CYP,Cyprus,2020,2.4692095945E10,1207361.0,0.894
CZE,Czechia,2010,2.09069940963E11,1.047441E7,0.87
CZE,Czechia,2015,1.8803305046E11,1.0546059E7,0.891
CZE,Czechia,2019,2.52498032247E11,1.067187E7,0.897
CZE,Czechia,2020,2.45339322067E11,1.0697858E7,0.892
DEU,Germany,2010,3.39966782000001E12,8.177693E7,0.926
DEU,Germany,2015,3.35758571935156E12,8.1686611E7,0.938
DEU,Germany,2019,3.88832678862744E12,8.3092962E7,0.948
DEU,Germany,2020,3.84641392865371E12,8.3160871E7,0.944
DJI,Djibouti,2010,1.1286117E9,840194.0,0.458
DJI,Djibouti,2015,2.424391785E9,913998.0,0.493
DJI,Djibouti,2019,3.088853639E9,973557.0,0.512
DJI,Djibouti,2020,3.181071154E9,988002.0,0.51
DMA,Dominica,2010,4.93825926E8,70877.0,0.711
DMA,Dominica,2015,5.40737037E8,71175.0,0.7
DMA,Dominica,2019,6.11537037E8,71808.0,0.729
DMA,Dominica,2020,5.04214815E8,71991.0,0.722
DNK,Denmark,2010,3.21995279402E11,5547683.0,0.913
DNK,Denmark,2015,3.02673070847E11,5683483.0,0.936
DNK,Denmark,2019,3.47561349211E11,5814422.0,0.946
DNK,Denmark,2020,3.56084867686E11,5831404.0,0.947
DOM,Dominican Republic,2010,5.3860175556E10,9695117.0,0.708
DOM,Dominican Republic,2015,7.1164825257E10,1.0281675E7,0.736
DOM,Dominican Republic,2019,8.8941299734E10,1.0738957E7,0.771
DOM,Dominican Republic,2020,7.8844702329E10,1.0847904E7,0.764
DZA,Algeria,2010,1.61207270185E11,3.5977451E7,0.721
DZA,Algeria,2015,1.65979279263E11,3.972802E7,0.74
DZA,Algeria,2019,1.71767403748E11,4.3053054E7,0.748
DZA,Algeria,2020,1.45009181491E11,4.3851043E7,0.736
EAP,East Asia & Pacific (excluding High Income),2010,7.88943182154602E12,1.96597228E9,
EAP,East Asia & Pacific (excluding High Income),2015,1.33275536312282E13,2.046847689E9,
EAP,East Asia & Pacific (excluding High Income),2019,1.72039E13,2.103723076E9,
EAP,East Asia & Pacific (excluding High Income),2020,1.74838205895345E13,2.114009483E9,
EAS,East Asia & Pacific,2010,1.70633287451704E13,2.206884622E9,
EAS,East Asia & Pacific,2015,2.19970931261503E13,2.291503725E9,
EAS,East Asia & Pacific,2019,2.70240797639322E13,2.351127942E9,
EAS,East Asia & Pacific,2020,2.71187228326575E13,2.361517682E9,
ECA,Europe & Central Asia (excluding High Income),2010,2.95306266011967E12,3.77813291E8,
ECA,Europe & Central Asia (excluding High Income),2015,2.92140406164066E12,3.90258029E8,
ECA,Europe & Central Asia (excluding High Income),2019,3.24970558184691E12,3.993861E8,
